chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr1	1259147	1259187	0.93	0.95	0.94	0.89	0.91	0.94	0.93	0.92	0.95	0.94	0.93	0.96	0.96	0.95	0.93	0.94	0.92	0.95	0.95	0.93	0.96	0.90	0.96	0.95	0.97	0.97	0.95	0.06	0.14	0.71	0.90	0.96	0.93	0.88	0.92	0.98	0.91	0.94	0.94
chr1	1262136	1262432	0.94	0.94	0.95	0.94	0.95	0.93	0.91	0.92	0.93	0.95	0.95	0.97	0.98	0.95	0.95	0.95	0.95	0.97	0.96	0.96	0.95	0.05	0.96	0.97	0.97	0.98	0.97	0.86	0.95	0.94	0.96	0.95	0.96	0.83	0.95	0.95	0.93	0.87	0.88
chr1	2075420	2075872	0.79	0.84	0.88	0.78	0.80	0.79	0.71	0.89	0.67	0.17	0.08	0.96	0.93	0.95	0.91	0.95	0.94	0.95	0.93	0.96	0.95	0.68	0.93	0.94	0.95	0.96	0.95	0.92	0.92	0.92	0.95	0.96	0.95	0.95	0.90	0.95	0.93	0.96	0.92
chr1	2212530	2213043	0.01	0.01	0.03	0.02	0.02	0.03	0.02	0.01	0.02	0.03	0.02	0.81	0.01	0.02	0.04	0.02	0.03	0.06	0.03	0.00	0.02	0.00	0.03	0.02	0.01	0.01	0.03	0.03	0.00	0.00	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01
chr1	2443343	2444126	0.03	0.02	0.08	0.02	0.04	0.03	0.03	0.06	0.03	0.01	0.02	0.04	0.01	0.01	0.02	0.01	0.02	0.02	0.03	0.02	0.04	0.02	0.07	0.05	0.04	0.03	0.11	0.06	0.14	0.09	0.25	0.88	0.03	0.04	0.05	0.04	0.02	0.02	0.05
chr1	3536523	3536746	0.49	0.73	0.59	0.59	0.40	0.69	0.25	0.81	0.68	0.89	0.93	0.71	0.86	0.62	0.75	0.75	0.68	0.78	0.87	0.91	0.84	0.66	0.89	0.93	0.93	0.85	0.89	0.82	0.85	0.92	0.94	0.90	0.93	0.94	0.93	0.86	0.88	0.68	0.71
chr1	3993432	3993453	0.88	0.90	0.96	0.77	0.80	0.87	0.76	0.96	0.02	0.94	0.96	0.85	0.90	0.82	0.94	0.91	0.94	0.93	0.90	0.86	0.86	0.78	0.95	0.97	0.99	0.98	0.95	0.62	0.94	0.95	0.94	0.95	0.93	0.97	0.94	0.96	0.93	0.97	0.97
chr1	5895598	5895802	0.93	0.91	0.91	0.72	0.92	0.93	0.79	0.68	0.83	0.83	0.73	0.95	0.93	0.94	0.03	0.83	0.03	0.85	0.93	0.94	0.96	0.80	0.95	0.94	0.96	0.95	0.95	0.90	0.85	0.90	0.95	0.94	0.94	0.94	0.94	0.92	0.90	0.94	0.92
chr1	5959258	5959335	0.93	0.94	0.91	0.89	0.88	0.88	0.87	0.98	0.75	0.95	0.93	0.68	0.95	0.86	0.12	0.92	0.92	0.96	0.95	0.93	0.94	0.79	0.95	0.97	0.97	0.95	0.97	0.92	0.93	0.91	0.95	0.97	0.95	0.95	0.94	0.93	0.96	0.96	0.94
chr1	6356644	6356694	0.95	0.96	0.94	0.92	0.98	0.96	0.95	0.98	0.97	0.96	0.95	0.05	0.97	0.92	0.96	0.98	0.98	0.90	0.96	0.98	0.95	0.88	0.97	0.98	0.96	0.97	0.97	0.93	0.92	0.97	0.95	0.89	0.96	0.99	0.98	0.50	0.96	0.94	0.89
chr1	7991117	7991683	0.96	0.97	0.96	0.94	0.94	0.94	0.95	0.98	0.94	0.97	0.89	0.97	0.98	0.95	0.97	0.97	0.98	0.94	0.84	0.97	0.96	0.79	0.97	0.98	0.97	0.97	0.97	0.94	0.89	0.08	0.97	0.96	0.97	0.97	0.95	0.96	0.96	0.97	0.97
chr1	9540191	9540385	0.06	0.07	0.08	0.08	0.08	0.15	0.06	0.01	0.03	0.08	0.06	0.01	0.18	0.03	0.02	0.10	0.02	0.02	0.08	0.05	0.02	0.00	0.03	0.01	0.01	0.01	0.01	0.15	0.01	0.01	0.02	0.02	0.21	0.85	0.04	0.00	0.01	0.01	0.01
chr1	9554214	9554463	0.96	0.95	0.95	0.96	0.97	0.95	0.93	0.97	0.93	0.96	0.97	0.04	0.97	0.95	0.94	0.96	0.96	0.96	0.96	0.99	0.95	0.82	0.95	0.95	0.96	0.96	0.95	0.94	0.96	0.96	0.93	0.96	0.97	0.98	0.94	0.96	0.95	0.94	0.94
chr1	9606420	9606591	0.96	0.96	0.93	0.95	0.97	0.95	0.93	0.93	0.83	0.96	0.86	0.97	0.97	0.98	0.96	0.97	0.97	0.97	0.97	0.96	0.96	0.88	0.97	0.98	0.97	0.97	0.96	0.93	0.93	0.93	0.88	0.96	0.85	0.15	0.97	0.95	0.96	0.96	0.96
chr1	10620747	10621083	0.95	0.94	0.90	0.92	0.94	0.91	0.90	0.90	0.90	0.26	0.89	0.94	0.96	0.92	0.94	0.93	0.96	0.94	0.02	0.95	0.93	0.79	0.95	0.96	0.98	0.97	0.97	0.93	0.93	0.90	0.88	0.93	0.96	0.96	0.83	0.94	0.92	0.95	0.95
chr1	10957446	10957509	0.94	0.95	0.93	0.93	0.93	0.85	0.91	0.94	0.94	0.96	0.84	0.97	0.97	0.96	0.63	0.02	0.93	0.97	0.97	0.98	0.96	0.78	0.95	0.96	0.96	0.98	0.94	0.92	0.96	0.96	0.98	0.97	0.99	0.96	0.98	0.97	0.97	0.98	0.97
chr1	11206030	11206561	0.90	0.91	0.88	0.89	0.89	0.92	0.88	0.94	0.86	0.96	0.96	0.96	0.82	0.82	0.20	0.41	0.77	0.93	0.94	0.94	0.91	0.83	0.96	0.97	0.98	0.97	0.96	0.94	0.93	0.92	0.88	0.92	0.96	0.95	0.93	0.89	0.89	0.92	0.93
chr1	11846130	11846567	0.91	0.93	0.91	0.86	0.95	0.91	0.85	0.08	0.90	0.94	0.86	0.96	0.96	0.90	0.93	0.93	0.94	0.94	0.91	0.93	0.93	0.81	0.92	0.92	0.95	0.93	0.93	0.93	0.93	0.94	0.96	0.93	0.94	0.94	0.92	0.95	0.95	0.92	0.91
chr1	11846599	11847354	0.90	0.93	0.90	0.88	0.85	0.85	0.86	0.05	0.89	0.95	0.89	0.96	0.96	0.93	0.94	0.94	0.96	0.91	0.94	0.83	0.93	0.76	0.94	0.96	0.95	0.95	0.95	0.92	0.93	0.94	0.96	0.93	0.96	0.95	0.95	0.93	0.94	0.93	0.93
chr1	12499442	12499960	0.24	0.91	0.85	0.77	0.31	0.84	0.41	0.95	0.66	0.94	0.91	0.97	0.96	0.93	0.95	0.92	0.97	0.90	0.93	0.95	0.90	0.82	0.94	0.96	0.95	0.97	0.94	0.94	0.93	0.91	0.96	0.93	0.96	0.94	0.94	0.98	0.95	0.95	0.95
chr1	14954541	14954609	0.90	0.91	0.77	0.81	0.72	0.88	0.84	0.92	0.91	0.95	0.93	0.95	0.98	0.94	0.95	0.97	0.97	0.95	0.97	0.98	0.97	0.72	0.78	0.90	0.95	0.97	0.82	0.89	0.73	0.96	0.95	0.96	0.06	0.74	0.98	0.96	0.97	0.96	0.96
chr1	15065881	15065942	0.95	0.94	0.88	0.88	0.90	0.89	0.89	0.96	0.85	0.96	0.78	0.92	0.97	0.92	0.96	0.95	0.96	0.95	0.96	0.93	0.93	0.75	0.76	0.05	0.95	0.97	0.88	0.78	0.76	0.83	0.92	0.91	0.89	0.67	0.94	0.95	0.93	0.95	0.93
chr1	15065985	15066138	0.90	0.90	0.84	0.90	0.81	0.88	0.81	0.95	0.58	0.89	0.92	0.92	0.92	0.88	0.91	0.95	0.94	0.93	0.94	0.92	0.91	0.70	0.71	0.04	0.94	0.91	0.93	0.86	0.77	0.84	0.85	0.86	0.93	0.86	0.91	0.92	0.93	0.91	0.94
chr1	15439286	15440165	0.92	0.93	0.91	0.87	0.94	0.93	0.88	0.97	0.90	0.96	0.97	0.96	0.95	0.03	0.96	0.96	0.97	0.96	0.92	0.96	0.95	0.71	0.93	0.95	0.96	0.97	0.93	0.93	0.93	0.94	0.96	0.95	0.98	0.97	0.95	0.96	0.96	0.95	0.95
chr1	15440533	15441018	0.91	0.92	0.89	0.84	0.93	0.93	0.86	0.96	0.89	0.96	0.95	0.95	0.94	0.03	0.96	0.95	0.97	0.92	0.95	0.94	0.94	0.69	0.91	0.95	0.95	0.97	0.92	0.94	0.93	0.93	0.95	0.95	0.95	0.93	0.94	0.95	0.95	0.95	0.95
chr1	15441048	15441129	0.92	0.92	0.88	0.82	0.90	0.96	0.86	0.96	0.80	0.94	0.96	0.96	0.94	0.03	0.94	0.96	0.94	0.96	0.96	0.96	0.93	0.65	0.91	0.93	0.95	0.96	0.91	0.90	0.94	0.93	0.97	0.95	0.97	0.97	0.93	0.96	0.96	0.95	0.95
chr1	15458781	15458854	0.97	0.97	0.93	0.94	0.96	0.97	0.95	0.97	0.93	0.95	0.97	0.96	0.96	0.06	0.99	0.98	0.98	0.97	0.96	0.98	0.97	0.73	0.96	0.98	0.98	0.97	0.97	0.93	0.97	0.97	0.97	0.97	0.98	0.98	0.98	0.95	0.98	0.96	0.96
chr1	15495092	15495639	0.94	0.94	0.90	0.86	0.92	0.92	0.85	0.96	0.86	0.95	0.96	0.96	0.93	0.05	0.94	0.91	0.93	0.96	0.96	0.96	0.96	0.65	0.92	0.94	0.95	0.92	0.95	0.91	0.94	0.94	0.95	0.95	0.96	0.96	0.94	0.95	0.94	0.94	0.94
chr1	15702034	15702044	0.87	0.93	0.91	0.90	0.87	0.95	0.90	0.89	0.85	0.95	0.82	0.86	0.86	0.84	0.77	0.00	0.13	0.94	0.94	0.93	0.91	0.72	0.94	0.96	0.96	0.94	0.93	0.81	0.85	0.87	0.93	0.95	0.88	0.93	0.92	0.79	0.87	0.86	0.89
